,city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
279,1,50,1,1,0,-,not acept,not furnished,R$0,"R$1,000",R$0,R$16,"R$1,016"
280,0,70,1,1,2,-,acept,not furnished,R$0,"R$1,450",R$5,R$22,"R$1,477"
281,1,177,2,2,2,-,acept,not furnished,R$0,"R$6,000",R$342,R$91,"R$6,433"
282,1,177,4,5,4,12,acept,not furnished,"R$1,500","R$9,200",R$959,R$117,"R$11,780"
283,1,18,1,1,0,-,acept,not furnished,R$0,"R$1,710",R$0,R$22,"R$1,732"
284,1,200,3,4,2,-,acept,not furnished,R$0,"R$2,900","R$1,100",R$44,"R$4,044"
285,1,45,1,1,1,1,not acept,furnished,"R$3,000","R$5,520",R$0,R$70,"R$8,590"
286,0,70,2,1,1,3,acept,not furnished,R$220,R$750,R$43,R$10,"R$1,023"
287,1,66,3,2,1,9,acept,not furnished,R$708,"R$2,179",R$13,R$28,"R$2,928"
288,1,48,2,1,0,2,acept,not furnished,R$90,"R$1,150",R$90,R$15,"R$1,345"
289,1,515,5,4,3,5,acept,not furnished,"R$5,600","R$15,000",R$250,R$191,"R$21,040"
290,1,55,2,2,1,7,acept,not furnished,R$650,"R$2,000",R$0,R$26,"R$2,676"
291,1,350,4,5,2,-,acept,not furnished,R$0,"R$5,000",R$325,R$76,"R$5,401"
292,1,260,3,3,3,8,acept,furnished,"R$2,210","R$5,000",R$842,R$64,"R$8,116"
293,1,78,2,1,1,7,acept,not furnished,R$645,"R$2,000",R$35,R$26,"R$2,706"
294,1,35,1,1,0,6,acept,furnished,R$420,"R$1,780",R$0,R$23,"R$2,223"
295,1,106,2,1,2,-,not acept,not furnished,R$0,"R$2,100",R$110,R$32,"R$2,242"
296,1,500,3,3,5,-,acept,furnished,R$0,"R$15,000","R$1,125",R$226,"R$16,350"
297,1,38,1,1,0,-,not acept,not furnished,Sem info,"R$1,650",R$0,R$25,"R$1,675"
298,1,153,2,2,1,15,acept,furnished,"R$1,500","R$11,900",R$350,R$151,"R$13,900"
299,1,64,2,2,2,5,acept,not furnished,R$830,"R$1,600",R$205,R$21,"R$2,656"
300,1,260,3,4,4,-,acept,not furnished,R$0,"R$4,500",R$0,R$68,"R$4,568"
301,0,50,1,1,1,11,acept,not furnished,"R$1,500",R$500,R$105,R$7,"R$2,112"
302,1,170,3,2,1,14,acept,furnished,"R$1,700","R$4,500",R$85,R$58,"R$6,343"
303,1,120,2,2,2,15,acept,furnished,"R$1,043","R$4,880",R$264,R$62,"R$6,249"
304,1,700,4,5,2,10,acept,furnished,"R$3,000","R$8,000",R$402,R$102,"R$11,500"
305,1,270,5,7,2,-,acept,not furnished,R$0,"R$3,978",R$89,R$60,"R$4,127"
306,1,40,1,1,0,6,acept,not furnished,R$890,"R$3,463",R$0,R$32,"R$4,385"
307,1,640,4,4,4,12,acept,furnished,"R$5,400","R$10,200","R$1,584",R$130,"R$17,310"
308,1,40,1,1,0,-,acept,not furnished,R$0,R$980,R$59,R$15,"R$1,054"
309,1,40,2,1,0,3,acept,not furnished,R$348,"R$1,100",R$0,R$14,"R$1,462"
310,1,42,1,1,1,-,acept,furnished,R$450,"R$2,000",R$88,R$26,"R$2,564"
311,1,62,1,1,0,3,acept,not furnished,R$550,"R$2,100",R$0,R$27,"R$2,677"
312,1,106,2,3,2,18,not acept,furnished,R$950,"R$5,000",R$250,R$64,"R$6,264"
313,1,103,3,2,1,7,acept,not furnished,R$944,"R$4,400",R$126,R$56,"R$5,526"
314,1,360,3,5,3,13,acept,not furnished,"R$4,300","R$8,500","R$1,500",R$108,"R$14,410"
315,1,113,1,1,2,9,acept,furnished,R$650,"R$6,400",R$0,R$82,"R$7,132"
316,1,164,4,4,3,1,acept,not furnished,"R$1,840","R$6,000",R$550,R$77,"R$8,467"
317,1,110,3,2,3,-,acept,not furnished,R$0,"R$2,800",R$15,R$43,"R$2,858"
318,1,110,2,2,1,8,acept,furnished,"R$1,285","R$4,348",R$196,R$56,"R$5,885"
319,1,136,4,3,1,3,acept,not furnished,"R$1,800","R$4,200",R$312,R$54,"R$6,366"
320,0,65,1,1,1,9,acept,not furnished,R$380,"R$1,200",R$83,R$16,"R$1,679"
321,1,62,2,1,1,8,not acept,not furnished,R$735,"R$1,345",R$35,R$18,"R$2,133"
322,0,163,3,5,3,20,acept,not furnished,"R$1,450","R$9,800",R$350,R$125,"R$11,730"
323,1,47,2,1,1,12,acept,not furnished,R$597,"R$1,570",R$0,R$20,"R$2,187"
324,1,50,1,1,1,1,acept,not furnished,R$795,"R$3,500",R$213,R$45,"R$4,553"
325,1,79,3,2,2,6,acept,furnished,R$900,"R$3,000",R$209,R$39,"R$4,148"
326,1,250,3,3,2,7,not acept,furnished,"R$1,400","R$5,380",R$234,R$69,"R$7,083"
327,1,50,2,1,1,6,acept,not furnished,R$380,"R$1,210",R$0,R$16,"R$1,606"
328,1,150,3,3,2,-,acept,not furnished,R$0,"R$5,000",R$235,R$76,"R$5,311"
329,0,76,2,1,0,2,acept,not furnished,R$300,R$700,R$100,R$9,"R$1,109"
330,1,72,2,2,1,7,acept,not furnished,R$520,"R$1,800",R$159,R$23,"R$2,502"
331,1,35,1,1,1,17,acept,furnished,"R$1,280","R$4,000",R$200,R$51,"R$5,531"
332,1,250,3,4,4,16,acept,not furnished,"R$3,421","R$10,700","R$1,224",R$136,"R$15,480"
333,0,85,3,1,1,9,not acept,not furnished,R$598,"R$1,110",R$63,R$15,"R$1,786"
334,0,60,1,1,1,14,acept,not furnished,R$583,"R$1,100",R$49,R$14,"R$1,746"
335,0,47,2,1,1,-,acept,not furnished,R$255,"R$1,290",R$33,R$17,"R$1,595"
336,1,104,3,3,2,3,not acept,furnished,R$915,"R$9,000",R$254,R$115,"R$10,280"
337,0,203,3,1,2,-,acept,not furnished,R$0,"R$3,300",R$117,R$50,"R$3,467"
338,1,136,3,2,1,85,acept,not furnished,"R$1,513","R$3,500",R$260,R$45,"R$5,318"
339,1,53,1,1,1,3,acept,not furnished,R$694,"R$4,500",R$200,R$58,"R$5,452"
340,1,400,4,3,2,-,acept,not furnished,R$0,"R$15,000","R$1,870",R$226,"R$17,100"
341,1,40,1,1,1,14,acept,furnished,R$480,"R$4,200",R$75,R$54,"R$4,809"
342,1,38,1,1,0,6,acept,not furnished,R$0,"R$1,680",R$0,R$22,"R$1,702"
343,1,340,4,6,4,8,acept,furnished,"R$3,100","R$2,800","R$1,667",R$36,"R$7,603"
344,0,134,3,3,2,7,not acept,not furnished,"R$1,000","R$2,500",R$177,R$32,"R$3,709"
345,1,97,2,2,0,9,acept,furnished,R$453,"R$3,000",R$0,R$39,"R$3,492"
346,1,90,1,1,0,-,not acept,not furnished,Sem info,"R$1,150",R$59,R$18,"R$1,227"
347,1,260,4,5,2,1,acept,furnished,"R$2,600","R$8,000",R$417,R$102,"R$11,120"
348,1,66,2,1,0,7,acept,not furnished,R$356,"R$1,650",R$0,R$21,"R$2,027"
349,1,92,2,1,1,12,not acept,not furnished,"R$2,750","R$2,930",R$448,R$38,"R$6,166"
350,1,92,3,3,1,3,acept,furnished,R$750,"R$4,250",R$21,R$54,"R$5,075"
351,1,155,3,4,2,14,acept,not furnished,"R$1,400","R$13,100",R$409,R$166,"R$15,080"
352,1,30,1,1,0,1,not acept,not furnished,Sem info,R$900,R$0,R$12,R$912
353,1,27,1,1,0,5,not acept,not furnished,"R$1,405","R$3,500",R$1,R$45,"R$4,951"
354,1,175,4,3,2,-,acept,not furnished,R$0,"R$3,200",R$380,R$49,"R$3,629"
355,1,326,3,4,4,12,acept,not furnished,"R$2,808","R$6,500","R$1,605",R$83,"R$11,000"
356,1,236,4,5,4,7,acept,not furnished,"R$3,500","R$10,000","R$1,834",R$127,"R$15,460"
357,0,119,3,1,1,5,acept,not furnished,R$926,"R$1,200",R$100,R$16,"R$2,242"
358,1,23,1,1,0,23,acept,not furnished,R$383,"R$2,050",R$40,R$26,"R$2,499"
359,1,260,2,4,4,19,not acept,not furnished,"R$2,000","R$8,000",R$667,R$102,"R$10,770"
360,1,400,3,3,2,-,not acept,not furnished,R$0,"R$12,000",R$0,R$181,"R$12,180"
361,1,87,1,1,2,14,acept,furnished,R$870,"R$7,900",R$150,R$101,"R$9,021"
362,1,65,2,1,1,-,acept,not furnished,R$0,"R$1,800",R$0,R$28,"R$1,828"
363,1,210,3,4,4,11,acept,furnished,"R$2,000","R$15,000","R$1,000",R$191,"R$18,190"
364,1,250,3,4,2,-,acept,not furnished,R$0,"R$4,200",R$192,R$64,"R$4,456"
365,1,155,3,2,3,4,acept,furnished,"R$2,600","R$11,700",R$667,R$149,"R$15,120"
366,0,300,4,3,5,-,acept,not furnished,R$0,"R$4,100",R$20,R$62,"R$4,182"
367,0,70,3,2,2,4,acept,not furnished,R$500,"R$1,800",R$78,R$23,"R$2,401"
368,1,68,1,2,1,11,acept,not furnished,"R$1,200","R$4,500",R$100,R$58,"R$5,858"
369,0,220,3,5,3,4,not acept,furnished,"R$2,000","R$7,900",R$417,R$101,"R$10,420"
370,0,91,3,2,2,12,acept,not furnished,R$700,"R$2,250",R$175,R$29,"R$3,154"
371,0,230,4,4,8,-,acept,not furnished,R$0,"R$5,100",R$320,R$77,"R$5,497"
372,0,48,2,1,0,4,acept,not furnished,R$288,R$950,R$45,R$13,"R$1,296"
373,1,90,2,2,2,15,not acept,furnished,"R$1,400","R$10,000",R$0,R$127,"R$11,530"
374,1,60,1,1,1,15,acept,furnished,"R$1,000","R$5,500",R$200,R$70,"R$6,770"
375,1,450,4,4,3,14,acept,not furnished,"R$5,500","R$15,000",R$0,R$191,"R$20,690"
376,1,16,1,1,0,1,not acept,not furnished,R$0,R$850,R$35,R$11,R$896
377,1,100,3,2,1,8,acept,not furnished,"R$1,100","R$1,400",R$291,R$18,"R$2,809"
378,1,300,3,3,3,-,acept,not furnished,R$1,"R$3,400",R$417,R$52,"R$3,870"
379,1,151,3,4,3,14,not acept,furnished,"R$1,700","R$6,800",R$475,R$87,"R$9,062"
380,1,150,3,4,3,12,acept,furnished,"R$2,092","R$7,608",R$730,R$97,"R$10,530"
381,1,57,2,1,1,7,acept,not furnished,R$570,"R$1,500",R$67,R$20,"R$2,157"
382,1,30,1,1,1,4,not acept,furnished,"R$1,787","R$1,200",R$144,R$16,"R$3,147"
383,0,53,1,1,1,8,acept,furnished,"R$1,350","R$3,110",R$85,R$40,"R$4,585"
384,1,270,3,4,3,-,acept,not furnished,Sem info,"R$6,800",R$417,R$103,"R$7,320"
385,1,78,2,2,2,8,acept,furnished,"R$1,400","R$5,800",R$334,R$74,"R$7,608"
386,1,20,1,1,0,1,not acept,furnished,R$150,"R$3,142",R$67,R$40,"R$3,399"
387,1,140,5,2,1,1,acept,furnished,R$0,"R$3,999",R$200,R$51,"R$4,250"
388,1,155,3,3,2,2,acept,furnished,"R$2,300","R$12,000",R$700,R$153,"R$15,150"
389,1,118,3,2,4,1,acept,not furnished,R$850,"R$2,250",R$334,R$29,"R$3,463"
390,0,235,4,4,3,13,acept,not furnished,"R$3,450","R$5,500",R$541,R$70,"R$9,561"
391,1,400,4,4,4,9,acept,not furnished,"R$4,700","R$9,000","R$1,125",R$115,"R$14,940"
392,1,80,2,2,1,6,not acept,not furnished,"R$1,015","R$3,500",R$117,R$45,"R$4,677"
393,1,50,1,1,0,2,not acept,furnished,R$710,"R$3,100",R$85,R$12,"R$3,907"
394,0,55,2,2,1,9,acept,not furnished,R$337,"R$2,500",R$86,R$32,"R$2,955"
395,1,400,4,4,4,-,acept,not furnished,R$0,"R$8,500","R$1,250",R$128,"R$9,878"
396,1,63,3,2,0,18,acept,not furnished,R$550,"R$1,800",R$0,R$23,"R$2,373"
397,1,325,4,3,2,3,acept,not furnished,"R$4,500","R$8,500","R$1,111",R$108,"R$14,220"
398,1,200,3,3,2,7,not acept,furnished,"R$2,500","R$6,000",R$125,R$77,"R$8,702"
399,1,58,2,2,1,5,acept,furnished,R$790,"R$5,000",R$192,R$64,"R$6,046"
400,1,180,3,2,3,-,acept,not furnished,R$0,"R$4,600","R$3,600",R$70,"R$8,270"
401,1,159,3,2,0,5,acept,not furnished,"R$1,774","R$4,507",R$444,R$19,"R$6,744"
402,1,420,4,3,4,-,acept,not furnished,R$0,"R$15,000","R$1,250",R$226,"R$16,480"
403,1,88,3,1,2,5,acept,not furnished,R$685,"R$1,500",R$35,R$20,"R$2,240"
404,0,70,3,1,1,6,acept,not furnished,R$549,"R$1,135",R$0,R$5,"R$1,689"
405,1,246,4,5,4,12,not acept,not furnished,"R$2,200","R$10,000",R$750,R$127,"R$13,080"
406,1,53,2,1,1,1,acept,not furnished,R$550,"R$1,250",R$0,R$16,"R$1,816"
407,1,22,1,1,1,19,not acept,not furnished,R$500,"R$2,200",R$0,R$28,"R$2,728"
408,1,80,1,1,0,-,acept,not furnished,R$0,"R$1,700",R$60,R$26,"R$1,786"
409,1,30,1,1,1,11,acept,furnished,R$500,"R$2,570",Incluso,R$8,"R$3,078"
410,0,157,3,5,3,1,acept,not furnished,"R$2,300","R$7,000",R$442,R$89,"R$9,831"
411,1,450,3,3,8,-,acept,furnished,R$0,"R$5,015",R$400,R$76,"R$5,491"
412,1,90,3,2,0,-,acept,not furnished,R$295,"R$2,572",R$53,R$8,"R$2,928"
413,1,88,2,1,0,7,not acept,not furnished,R$800,"R$1,800",R$0,R$23,"R$2,623"
414,0,46,1,1,0,5,acept,furnished,"R$1,300","R$1,950",R$0,R$25,"R$3,275"
415,1,189,4,2,2,4,acept,not furnished,"R$1,970","R$8,000",R$559,R$102,"R$10,630"
416,1,49,2,1,1,10,not acept,not furnished,R$395,"R$1,250",R$0,R$16,"R$1,661"
417,1,180,3,2,2,2,acept,not furnished,"R$2,500","R$7,000","R$1,200",R$89,"R$10,790"
418,1,128,3,3,2,1,acept,not furnished,"R$1,090","R$7,000",R$500,R$89,"R$8,679"
419,1,60,2,2,0,-,acept,not furnished,R$518,"R$1,300",R$170,R$10,"R$1,998"
420,1,74,3,2,1,7,acept,not furnished,R$982,"R$1,710",R$48,R$22,"R$2,762"
421,1,80,1,1,1,10,acept,not furnished,"R$1,800","R$2,500",R$180,R$32,"R$4,512"
422,1,150,3,2,1,-,acept,not furnished,R$0,"R$2,500",R$0,R$38,"R$2,538"
423,1,70,3,2,1,3,acept,not furnished,R$799,"R$1,900",R$182,R$25,"R$2,906"
424,1,113,3,2,2,2,acept,not furnished,"R$1,300","R$4,800",R$250,R$61,"R$6,411"
425,0,50,1,1,0,-,acept,not furnished,R$0,R$880,R$0,R$14,R$894
426,1,300,4,2,2,1,acept,furnished,"R$3,000","R$6,500","R$1,091",R$83,"R$10,670"
427,1,140,2,3,1,3,acept,furnished,"R$1,306","R$5,000",R$250,R$64,"R$6,620"
428,1,300,4,5,1,8,acept,furnished,"R$3,700","R$8,550",R$400,R$109,"R$12,760"
